GeneSymbol	cohort1_rep1	cohort1_rep2	cohort2_rep1	cohort2_rep2
RN7SL134P	0	0	0	0
LOC101928446	0	0	0	0
MIR8058	0	0	0	0
CDH13	1	0	0	2
LOC100419639	0	0	0	0
RN7SKP190	0	0	0	0
MPHOSPH6	171	204	439	487
MTND6P28	0	0	0	0
MTCYBP28	1	11	1	0
HSD17B2	0	0	0	0
SDR42E1	31	44	1	3
RN7SKP176	0	0	0	0
PLCG2	57	67	194	223
LOC100129617	8	9	7	13
MIR6504	0	0	0	0
MIR7854	1	0	0	0
PPIAP51	0	0	2	0
CMIP	786	879	1615	1789
MIR4720	0	0	0	0
GAN	1453	1831	3415	3806
BCO1	2	5	5	1
RNU6-1191P	0	0	0	0
PKD1L2	2	1	0	1
GCSH	60	72	69	94
C16orf46	36	51	34	24
ATMIN	1670	2081	1771	1849
CENPN	444	569	568	727
CMC2	416	450	543	580
ARLNC1	5	9	1	0
CDYL2	1694	2201	805	809
LINC01227	0	0	0	1
DYNLRB2	9	15	6	4
LOC102724084	1	3	0	0
LINC01228	0	0	0	0
LINC01229	0	0	1	0
MAFTRR	0	1	9	11
MAF	1	0	1334	1503
RNA5SP431	0	1	0	0
RPS3P7	8	7	1	1
LSM3P5	1	0	0	0
WWOX	256	271	222	201
LOC100131126	0	0	0	0
KRT8P22	26	30	9	2
CLEC3A	1	0	0	1
PPIAP50	1	1	0	1
VAT1L	2	2	1	6
NUDT7	38	49	71	87
ADAMTS18	0	0	4	3
VN2R10P	0	0	0	0
SYCE1L	2	2	0	2
MON1B	625	819	1556	1669
MIR4719	0	0	0	0
LINC02125	0	0	0	0
RN7SKP233	0	0	0	0
CNTNAP4	0	0	0	0
RPL18P13	8	7	1	4
RNA5SP430	0	0	0	0
CPHXL	0	0	0	0
ATP5PBP7	2	3	4	1
RN7SL520P	0	0	0	0
DUXB	0	0	0	0
TERF2IP	828	1036	1729	1846
KARS1	2665	3311	6195	6494
ADAT1	760	957	1069	1224
GABARAPL2	853	1086	1256	1408
TMEM231	99	132	100	112
CHST5	3	1	2	7
TMEM231P1	6	5	5	6
CHST6	2	1	4	3
TMEM170A	473	555	863	921
CFDP1	819	1078	707	760
RNU6-758P	0	0	0	0
BCAR1	790	887	2154	2268
LOC100506281	0	0	0	0
CTRB1	0	0	0	0
CTRB2	0	0	0	0
RPS4Y1P1	0	0	0	0
ZFP1	476	604	363	364
LDHD	75	83	4	8
ZNRF1	1355	1712	870	858
WDR59	757	959	1071	1205
FA2H	146	168	206	254
MLKL	114	134	123	135
TMPOP2	5	8	19	18
RFWD3	969	1054	1982	2051
HSPE1P7	0	2	4	0
RPS10P23	0	0	0	0
RNU6-237P	0	0	0	0
GLG1	2712	3460	4503	4634
CLEC18B	0	0	0	3
LOC105376772	0	0	0	0
NPIPB15	17	22	21	26
LOC283922	76	105	115	112
RPL21P118	16	10	14	18
PSMD7	1191	1570	2810	2968
PPIAP49	0	0	3	2
LOC101928035	0	1	1	1
RPSAP56	0	0	1	1
TRK-TTT1-1	0	0	0	0
LINC01568	0	0	0	0
HCCAT5	0	0	0	0
RNU7-71P	1	0	1	0
ZFHX3	3332	4158	3773	4163
KRT18P18	6	9	1	1
RNU7-90P	0	0	0	0
LINC01572	22	31	45	47
LOC390739	0	0	0	0
PMFBP1	0	1	13	13
DHX38	1000	1313	1285	1432
TXNL4B	170	225	242	284
HPR	0	0	0	0
HP	0	0	0	0
DHODH	308	379	232	222
ATP5F1AP3	19	22	30	36
RPL39P31	0	0	0	0
PKD1L3	0	0	0	0
IST1	1281	1602	2260	2465
ZNF821	94	103	257	247
ATXN1L	1073	1278	1821	1977
LOC100420489	0	0	0	1
SNORD71	0	2	3	0
AP1G1	2953	3725	3683	4000
SNORA70D	0	0	0	0
RNU6-208P	0	0	0	0
PHLPP2	473	518	852	918
MARVELD3	237	288	635	666
TAT	0	1	1	0
TAT-AS1	1	3	1	3
RNU6-1061P	0	0	0	1
CHST4	0	0	0	0
LOC105371335	0	0	0	0
ZNF19	98	130	76	99
ZNF23	199	238	250	232
TLE7	0	0	0	0
TRM-CAT2-1	0	0	0	0
LINC02136	0	0	0	0
CALB2	43	66	0	0
CMTR2	775	944	1270	1308
RNU6ATAC25P	0	0	0	0
HYDIN	2	0	0	1
TRG-GCC2-5	0	0	0	0
TRG-GCC5-1	0	0	0	0
TRG-GCC2-4	0	0	0	0
TRG-GCC3-1	0	0	0	0
VAC14-AS1	0	0	0	0
VAC14	345	445	536	611
MTSS2	1398	1634	3572	3899
IL34	0	1	0	1
SNORD111	3	4	1	2
SNORD111B	1	3	2	0
SF3B3	3512	4258	4240	4585
COG4	763	918	1192	1186
FCSK	233	245	252	223
RNU6-23P	0	0	0	0
RPS27P26	0	0	0	0
ST3GAL2	62	84	95	84
DDX19A	401	436	503	557
LOC100506083	11	11	6	11
DDX19B	239	292	580	560
RN7SL279P	0	0	0	0
AARS1	3503	4421	9296	9847
EXOSC6	803	983	688	755
SMG1P7	12	21	18	16
LOC105371328	0	0	0	0
CLEC18C	0	0	0	0
LOC400541	0	0	0	0
PDPR	817	1075	1218	1330
RPS10P24	0	0	0	0
MIR1972-2	0	0	0	0
PDXDC2P	136	199	152	171
NPIPB14P	120	153	154	150
PDXDC2P-NPIPB14P	11	11	16	12
CLEC18A	0	0	1	1
MIR140	0	0	0	2
WWP2	851	992	1020	1090
NONOP1	65	75	176	199
NOB1	941	1151	1442	1512
NQO1	2360	3100	11640	12517
SNORD13H	1	0	1	1
NFAT5	1061	1314	1588	1633
MIR1538	0	0	0	0
LOC100420066	0	0	0	0
CYB5B	868	1117	1163	1245
TERF2	283	330	589	589
TMED6	1	0	2	1
NIP7	656	759	982	944
PDF	39	29	37	46
COG8	395	470	413	460
VPS4A	874	1055	1375	1381
LOC100421641	3	1	4	4
CHTF8	0	0	0	0
DERPC	0	0	0	0
HAS3	3	16	14	13
RPS2P45	0	0	0	0
RNU6-898P	0	0	0	0
RNU7-42P	0	0	0	0
TANGO6	79	101	176	195
FTLP14	40	54	22	27
RNA5SP429	4	2	3	3
CDH1	16001	20049	15395	16182
HSPE1P5	1	0	1	0
LOC100418868	0	0	10	5
CDH3	649	848	626	662
ZFP90	786	959	570	667
RNU4-36P	0	0	1	0
RPL35AP33	0	0	0	0
SMPD3	137	187	11	19
RNU4-30P	0	0	0	0
PRMT7	235	302	254	294
SLC7A6OS	151	205	340	365
RNU6-1262P	0	0	1	0
SLC7A6	726	924	1559	1581
PLA2G15	115	110	262	307
MIR6773	8	11	1	7
ESRP2	1365	1677	1801	1931
RPS12P27	1	1	2	4
NFATC3	1121	1387	808	788
DUS2	199	220	228	230
DDX28	281	310	243	253
RNU6-359P	0	0	0	0
DPEP2NB	0	0	0	0
KARS1P3	0	1	0	1
DPEP2	0	1	0	0
DPEP3	0	0	0	0
SLC12A4	361	470	25	16
LCAT	22	29	0	1
PSMB10	115	150	113	124
CTRL	7	4	8	7
PSKH1	448	562	514	595
NRN1L	2	1	0	1
EDC4	768	978	1115	1324
NUTF2	719	954	1031	1114
THAP11	314	389	364	362
CENPT	265	338	295	314
TSNAXIP1	3	5	6	3
RANBP10	392	403	538	633
GFOD2	283	370	363	358
C16orf86	9	5	4	1
ENKD1	67	63	75	94
PARD6A	45	71	54	51
ACD	171	240	296	311
CARMIL2	11	16	17	12
CTCF	2136	2577	1741	1866
LOC107984813	3	2	2	5
RIPOR1	850	1040	654	702
LOC100505942	7	5	2	4
AGRP	0	0	0	0
ATP6V0D1	829	1039	1270	1414
HSD11B2	19	32	4	3
ZDHHC1	1	2	0	0
RNU1-123P	0	0	0	0
TPPP3	1	2	0	0
LRRC36	0	0	0	0
RN7SKP118	111	174	106	122
KCTD19	0	0	0	0
PLEKHG4	767	804	12	14
SLC9A5	27	26	72	96
FHOD1	440	565	833	820
TMEM208	210	296	243	252
LRRC29	9	7	5	6
MIR328	1	0	0	0
ELMO3	393	401	518	530
E2F4	606	742	883	953
EXOC3L1	1	2	0	0
KIAA0895L	163	179	198	212
NOL3	260	339	270	285
HSF4	134	166	137	186
FBXL8	84	101	69	101
TRADD	111	133	187	202
B3GNT9	34	48	104	128
C16orf70	247	272	232	249
CBFB	584	728	1463	1548
RN7SL543P	0	0	0	1
CES4A	0	0	0	0
CES3	11	15	1	3
CES2	456	493	615	653
CIAO2B	245	322	300	389
RRAD	1	1	0	0
CDH16	0	0	0	0
PDP2	247	291	277	311
CA7	0	0	0	0
NAE1	416	512	610	674
TERB1	0	0	0	0
LOC106699570	1	0	1	3
DYNC1LI2	1188	1525	2570	2658
CMTM4	1499	1810	3393	3581
CMTM3	44	60	51	80
CMTM2	0	0	1	0
CMTM1	10	13	22	26
CKLF-CMTM1	0	0	0	0
CKLF	47	65	133	164
TK2	66	72	186	167
BEAN1-AS1	0	0	0	0
BEAN1	1	1	29	38
LINC00920	0	0	0	1
CDH5	0	0	0	0
RNA5SP428	0	0	0	0
LINC00922	0	0	0	0
LINC02126	0	0	0	0
CDH11	0	0	0	0
PPIAP48	0	0	0	0
LOC729217	10	5	15	23
RPS15AP34	0	0	0	0
UBE2FP2	0	0	0	1
RNU6-21P	0	0	0	0
RN7SKP76	0	0	0	0
CDH8	0	0	0	0
RPS27AP16	325	478	602	669
GNPATP	0	0	0	0
NPAP1L	0	0	0	0
LOC100421258	3	3	2	3
LINC02141	0	0	0	0
APOOP5	4	2	3	2
DUXAP11	0	0	0	0
RNU4-58P	0	0	0	0
RPS27P27	0	0	0	0
RPL12P36	0	0	0	0
GEMIN8P2	0	0	0	0
RN7SL143P	1	0	2	2
RNU6-1155P	0	0	0	0
RNY5P9	0	0	0	0
GOT2	1328	1606	2617	2727
SLC38A7	124	162	196	226
SNORA50A	2	5	3	2
SNORA46	0	2	0	2
CNOT1	3536	4290	6533	6854
SETD6	228	282	278	324
RNU6-103P	0	0	0	0
NDRG4	113	135	76	85
GINS3	41	61	120	132
RNU6-1110P	0	0	0	0
RNU6-269P	0	0	0	0
PRSS54	0	0	0	1
CCDC113	48	59	126	97
RN7SL645P	0	2	0	2
CSNK2A2	285	408	632	613
CFAP20	151	229	256	302
LOC100125393	0	0	0	0
MMP15	278	312	371	412
USB1	178	190	656	630
ZNF319	112	114	209	198
TEPP	0	0	0	0
CNGB1	0	1	0	0
LOC100421594	0	0	0	0
DRC7	0	0	1	1
ADGRG3	1	3	0	0
ADGRG1	1394	1651	8404	9092
HMGB3P32	0	0	0	0
ADGRG5	0	0	0	0
CCDC102A	39	34	78	65
DOK4	100	133	208	216
POLR2C	618	780	694	730
COQ9	262	304	359	418
CIAPIN1	329	369	467	480
CCL17	0	0	0	0
CX3CL1	0	1	0	0
CCL22	9	15	1	0
RPL23AP91	0	0	0	0
TRL-CAG2-2	0	0	0	0
TRL-CAG2-1	2	2	2	1
PLLP	38	40	0	0
ARL2BP	449	591	311	318
RSPRY1	455	549	519	550
PSME3IP1	603	778	695	783
CPNE2	52	67	198	218
LOC100130044	0	0	0	0
NLRC5	6	4	1	1
CETP	0	0	0	0
HERPUD1	529	675	2349	2462
RPS24P17	0	2	1	0
MIR6863	0	0	0	0
SLC12A3	1	1	0	0
MIR138-2	0	0	0	0
NUP93	488	608	578	598
DPPA2P4	0	0	0	0
MT1X	26	33	21	18
MT1IP	0	0	0	0
MT1H	0	0	0	0
MT1G	1	0	0	3
MT1F	11	27	18	28
MT1B	0	0	0	0
MT1CP	0	0	0	0
MT1DP	0	2	0	0
MT1A	0	0	0	0
MT1JP	0	0	0	0
MT1M	0	0	0	0
MT1E	0	0	0	0
MT1L	0	0	0	0
MT2A	237	288	1355	1415
MT3	0	0	0	0
MT4	0	0	0	0
BBS2	243	329	311	368
OGFOD1	508	610	714	731
NUDT21	2525	3141	2454	2635
AMFR	1960	2458	1248	1271
MIR3935	0	0	0	0
DKFZP434H168	0	0	0	0
GNAO1	10	9	3	3
LOC283856	0	0	0	0
CES1P1	0	0	0	0
CES1P2	0	0	0	0
SLC6A2	0	0	0	0
CAPNS2	0	0	0	1
LPCAT2	48	55	123	140
MMP2	0	0	0	0
MMP2-AS1	0	0	0	0
RPL31P56	0	0	0	0
IRX6	0	0	0	0
RN7SL841P	0	0	0	0
MTND5P34	0	0	0	0
IRX5	1240	1489	215	263
CRNDE	328	452	295	276
LOC101927480	0	0	0	0
LINC02140	0	0	0	0
IRX3	2787	3412	333	365
LINC02169	0	0	0	0
FTO-IT1	12	19	0	3
FTO	1058	1332	513	539
RPGRIP1L	133	168	81	94
AKTIP	169	193	304	321
RNU6-1153P	0	0	0	0
RBL2	1403	1795	1135	1212
LOC102723373	20	13	10	13
LOC643802	3	1	1	3
RNA5SP427	0	0	0	0
LOC100421174	2	5	4	3
LOC100310835	0	0	0	0
CHD9	1012	1264	1520	1696
LOC105371267	14	11	6	8
LOC100128523	0	1	0	0
LOC100288763	0	0	0	0
PHBP21	10	25	12	15
LOC146253	2	2	2	7
CASC16	0	0	0	2
TOX3	0	0	21	36
CASC22	0	0	0	0
LINC02180	0	0	0	0
LINC00919	0	0	0	0
LINC01571	0	0	0	0
RN7SKP142	0	0	0	0
HNRNPA1P48	122	120	142	148
UNGP1	0	1	0	0
SALL1	0	0	0	0
SOD1P2	0	0	0	0
LINC02127	0	0	0	0
RNA5SP426	0	0	0	0
LINC02168	0	0	0	0
MIR3181	0	1	0	0
CYLD	418	467	264	248
NOD2	27	28	3	2
LOC101927272	0	0	0	0
SNX20	0	0	0	0
NKD1	3	12	74	87
LINC02178	0	0	0	0
BRD7	472	538	668	642
MIR6771	0	0	0	0
ADCY7	47	78	106	95
TENT4B	326	419	399	449
RPL10P14	1	0	0	0
RNY4P3	0	0	0	1
HEATR3	241	273	392	457
ACTG1P16	0	1	0	0
LOC100130602	0	0	0	0
CNEP1R1	94	99	138	189
RPL34P29	0	0	0	0
MRPS21P8	0	0	0	0
MRPS21P7	0	0	0	0
ADAM3B	0	0	0	1
ZNF423	5	12	81	95
C16orf78	0	0	0	0
CBLN1	0	0	0	0
MTND4LP25	0	0	0	0
RNU6-257P	0	0	0	0
KLF8P1	0	0	1	0
RPS2P44	2	1	2	5
N4BP1	468	555	796	777
MOCS1P1	0	0	1	0
LOC100526838	0	0	0	0
SIAH1	304	353	527	588
UBA52P8	0	0	0	0
LONP2	1033	1343	4714	4917
ABCC11	27	29	494	496
ABCC12	0	0	7	3
LINC02134	0	0	0	0
LINC02133	0	0	0	0
LINC02192	0	0	0	0
NDUFA5P11	2	14	14	6
EIF4BP5	8	8	12	7
LOC100420642	0	0	0	0
RNA5SP425	0	0	0	0
PHKB	553	737	1122	1099
RNA5SP424	1	0	0	0
LOC100422275	0	0	0	0
ITFG1	441	526	620	611
RPL23AP72	0	3	0	0
ITFG1-AS1	1	0	0	1
NETO2	624	734	465	602
DNAJA2	1072	1371	2063	2254
SNORD148	0	0	0	0
GPT2	402	531	1932	2091
CKBP1	0	0	0	0
C16orf87	165	238	290	293
LOC100130180	1	2	0	0
MYLK3	1	4	0	0
ORC6	58	66	131	121
VPS35	1302	1644	2240	2302
RAB43P1	20	16	40	49
SHCBP1	101	137	210	188
LOC100421259	0	0	0	1
LOC441768	0	0	0	0
RNU6-845P	0	0	0	0
ANKRD26P1	0	0	0	0
PPP1R1AP2	0	0	0	0
VN1R70P	0	0	0	0
HMGN2P41	60	66	35	32
RNA5SP423	0	0	0	0
RNA5SP422	0	0	0	0
RNA5SP421	0	0	0	0
RNA5SP420	0	0	0	0
RNA5SP419	0	0	0	0
RNA5SP418	0	0	0	0
RNA5SP417	0	0	0	0
RNA5SP416	0	0	0	0
RNA5SP415	0	0	0	0
RNA5SP414	0	0	0	0
RNA5SP413	0	0	0	0
RNA5SP412	0	0	0	0
LINC02167	0	0	0	0
RNA5SP411	0	0	0	0
RNA5SP410	0	0	0	0
RNA5SP409	0	0	0	0
RNA5SP408	0	0	0	0
RNA5SP407	0	0	0	0
RNA5SP406	0	0	0	0
KIF18BP1	0	0	0	0
C1QL1P1	0	0	0	0
C2orf69P1	0	0	0	0
AGGF1P7	0	0	0	0
RARRES2P8	0	0	0	0
TP53TG3HP	0	0	0	0
C2orf69P2	0	0	0	0
AGGF1P6	0	0	0	0
RARRES2P10	1	0	0	0
FRG2DP	0	0	0	0
ZNF971P	0	0	0	0
C2orf69P3	0	0	0	0
AGGF1P5	0	0	0	0
RARRES2P7	0	0	0	0
FRG2IP	0	0	0	0
AGGF1P4	0	0	0	0
FRG2GP	0	0	0	0
LINC01566	0	0	0	0
C2orf69P4	0	0	0	0
AGGF1P9	0	1	1	0
RARRES2P9	0	0	0	0
C2orf69P5	1	0	0	0
AGGF1P8	1	0	0	0
RARRES2P6	0	0	0	0
FGFR3P5	0	0	0	0
RARRES2P5	0	0	0	0
TP53TG3GP	0	0	0	0
LOC112268173	0	0	0	0
SLC25A1P4	0	0	0	0
UBE2MP1	33	48	29	26
VN1R69P	0	0	0	0
VN1R68P	0	0	0	0
VPS35P1	3	2	5	7
NAMPTP3	0	0	0	0
CLUHP11	0	0	0	0
CCNYL3	0	0	0	0
MIR9901	0	0	0	0
RNA5-8SP2	0	0	0	0
LOC110262331	0	0	0	0
DUX4L47	0	0	0	0
DUX4L46	0	1	0	0
PCMTD1P2	1	0	0	0
DUX4L45	0	0	0	0
LOC348210	0	0	0	0
BCAP31P1	0	0	0	1
IGHV3OR16-16	0	0	0	0
IGHV3OR16-7	0	0	0	0
ARHGAP23P1	0	0	0	0
IGHV3OR16-11	0	0	0	0
IGHV3OR16-13	0	0	0	0
LOC342443	0	0	0	0
IGHV3OR16-12	0	0	0	0
ENPP7P13	0	0	0	0
BMS1P8	10	11	10	13
LOC647208	0	0	0	0
TP53TG3B	0	0	0	0
LOC105369266	0	0	0	0
TP53TG3C	0	0	0	0
ABHD17AP9	0	0	0	0
HERC2P8	0	1	0	0
IGHV3OR16-10	0	0	0	0
LOC100419016	0	0	0	0
IGHV3OR16-6	0	0	0	0
IGHV3OR16-15	0	0	0	0
SLC6A10P	9	12	25	19
BCAP31P2	0	2	1	0
IGHV2OR16-5	0	0	0	0
HERC2P5	0	1	1	4
ABHD17AP7	0	0	0	0
TP53TG3	1	0	0	0
ABCD1P3	2	1	0	1
PABPC1P13	0	0	0	0
SLC9B1P5	0	0	0	0
ACTR3BP3	0	0	0	0
LOC390705	0	0	0	0
TP53TG3D	2	2	0	0
ABHD17AP8	0	0	0	0
HERC2P4	0	0	0	0
LOC102723753	3	6	3	4
IGHV3OR16-9	0	0	0	0
IGHV1OR16-1	0	0	0	0
LOC388248	0	0	0	0
LOC100422713	0	0	0	0
ZNF267	371	452	519	592
RBM22P13	0	0	0	0
VN1R3	0	0	0	0
PPP2CBP1	1	0	0	0
VN1R67P	0	0	0	0
LOC100419896	98	131	96	82
ZNF720	199	244	214	249
CLUHP3	70	94	73	86
RBM22P12	0	0	0	0
VN1R66P	0	0	0	0
ZNF720P1	1	1	2	2
YBX3P1	27	22	79	68
FRG2KP	0	0	0	1
VN1R65P	0	0	0	0
VN1R64P	0	0	0	0
LINC02190	0	1	0	0
AHSP	0	0	0	1
RUSF1	838	1109	887	966
SLC5A2	0	3	0	0
TGFB1I1	12	18	12	12
ARMC5	143	167	135	174
ZNF843	8	4	2	1
COX6A2	0	0	0	0
ITGAD	0	0	0	0
LOC100422479	0	0	0	0
ITGAX	0	0	5	3
ITGAM	2	1	0	0
PYDC1	0	0	0	0
TRIM72	0	1	0	0
PYCARD-AS1	6	9	4	6
PYCARD	329	414	261	330
FUS	4222	5283	4484	4716
NDUFA3P6	0	0	0	0
PRSS36	6	6	2	2
PRSS8	625	768	1101	1213
KAT8	474	600	375	424
BCKDK	524	681	482	534
VKORC1	485	598	379	388
PRSS53	23	29	14	13
ZNF646	730	816	611	639
ZNF668	173	218	196	177
STX4	466	639	489	538
STX1B	6	9	3	3
HSD3B7	526	664	105	136
SETD1A	1068	1249	988	1103
ORAI3	251	291	274	294
FBXL19	530	609	1068	1190
FBXL19-AS1	105	140	66	69
CTF2P	0	0	0	0
CTF1	6	9	30	33
MIR762	0	0	2	1
MIR762HG	29	34	18	27
MIR4519	0	0	0	0
BCL7C	251	358	458	506
LOC647086	4	2	3	1
ZNF629	933	1301	1324	1515
RNF40	1630	2112	2098	2297
CCDC189	27	21	35	34
PHKG2	260	295	369	414
TMEM265	94	106	107	120
SNORA30	3	0	2	2
RNU6-1043P	0	0	0	0
SRCAP	2919	3502	3427	3811
LOC730183	11	13	11	11
RNU6-416P	0	0	0	0
FBRS	1730	2088	2076	2183
PRR14	470	671	461	526
ZNF689	264	342	203	229
ZNF785	171	202	121	145
ZNF688	151	172	96	102
ZNF764	221	232	136	180
LOC100127965	4	2	2	3
ZNF747	197	225	14	22
ZNF768	739	810	740	793
MIR4518	0	0	0	0
RNU7-61P	0	0	0	0
ITGAL	1	0	1	2
SEPHS2	1480	1871	1741	1919
DCTPP1	805	962	947	908
SNORA80C	0	0	1	0
ZNF771	70	79	64	64
ZNF48	369	443	515	534
SEPTIN1	24	22	26	28
MYLPF	1	0	1	2
TBC1D10B	642	784	716	753
CD2BP2	976	1297	1259	1394
LOC100421031	1	4	1	0
SMG1P5	13	17	13	19
NPIPB13	1	0	1	1
LOC613038	0	0	0	0
SULT1A3	0	0	0	0
SLX1A-SULT1A3	0	0	0	0
SLX1A	0	0	0	0
BOLA2B	0	0	0	2
CORO1A	26	30	385	382
MAPK3	1130	1351	670	717
GDPD3	211	254	8	6
LOC101928595	19	21	11	13
YPEL3	622	793	337	342
TBX6	57	60	14	14
PPP4C	1655	2017	1740	1884
ALDOA	93	157	131	109
LOC112694756	11	31	14	9
TLCD3B	3	8	1	3
C16orf92	0	0	0	0
DOC2A	234	251	124	130
INO80E	643	761	611	661
HIRIP3	287	355	228	222
TAOK2	817	1061	1252	1379
TMEM219	398	535	421	497
KCTD13	256	301	259	276
ASPHD1	90	128	96	118
SEZ6L2	1265	1481	788	848
CDIPTOSP	0	0	0	0
CDIPT	1019	1195	1010	1030
MVP	373	503	622	673
PAGR1	973	1160	709	802
PRRT2	214	249	30	41
MAZ	4008	4862	4653	5006
KIF22	1146	1459	800	830
ZG16	5	14	0	0
C16orf54	0	0	0	0
RN7SKP127	0	0	0	0
QPRT	56	65	0	0
SPN	0	0	0	0
CA5AP1	0	0	0	0
SLC7A5P1	0	0	0	0
MIR3680-2	0	0	0	0
SMG1P2	21	13	17	17
NPIPB12	2	2	10	0
LOC388242	0	0	0	0
SULT1A4	0	0	0	0
SLX1B-SULT1A4	0	0	0	0
SLX1B	0	0	0	0
BOLA2	0	0	0	0
LOC606724	0	0	0	0
BOLA2-SMG1P6	0	0	0	0
SMG1P6	6	14	7	7
NPIPB11	9	7	8	7
SNX29P2	4	2	0	2
LOC100129184	0	0	0	0
RRN3P2	50	30	6	3
NPIPB10P	2	0	2	0
LAT	29	37	15	12
SPNS1	624	813	466	475
MIR4517	7	7	9	1
NFATC2IP	540	660	547	558
CD19	0	0	0	0
RABEP2	327	367	366	405
ATP2A1-AS1	11	6	22	18
ATP2A1	5	14	23	17
SH2B1	513	669	672	787
MIR4721	0	0	0	0
TUFM	3097	3790	3537	3849
ATXN2L	2437	3071	4692	5123
RPS15AP33	6	15	5	4
NPIPB9	0	0	1	1
PAWRP2	0	0	0	0
MIR6862-2	0	0	0	0
CDC37P1	0	0	0	0
EIF3C	186	232	387	445
NPIPB8	0	0	0	0
SULT1A1	67	77	129	134
SULT1A2	5	4	1	1
SGF29	228	341	173	188
NUPR1	690	890	1089	1143
IL27	0	0	0	0
APOBR	23	28	2	6
CLN3	774	941	547	522
NPIPB7	0	0	0	0
CDC37P2	0	0	0	0
MIR6862-1	0	1	0	0
EIF3CL	923	1101	1757	1676
NPIPB6	0	0	1	0
SBK1	190	184	1713	1910
GAPDHP35	5	12	27	37
RNY1P10	0	0	0	0
TPRKBP2	2	1	3	2
XPO6	1228	1367	1993	2168
RNU6-1241P	0	0	0	0
RNU6-159P	0	0	0	0
GSG1L	92	135	0	0
LOC100128079	0	0	0	1
KATNIP	494	649	804	865
GTF3C1	2330	2765	2387	2564
IL21R-AS1	1	0	0	0
IL21R	0	0	1	0
IL4R	264	311	527	590
NSMCE1-DT	5	5	2	2
NSMCE1	420	496	531	524
KDM8	27	48	31	30
LINC02129	0	0	0	0
EEF1A1P38	10	7	16	15
C16orf82	0	0	0	0
HSPE1P16	0	0	0	0
HMGN2P3	14	10	6	8
RNA5SP405	0	0	0	0
MIR548W	0	0	0	0
LOC100420641	0	0	0	0
HS3ST4	0	0	0	0
CYCSP39	1	2	1	2
ZKSCAN2-DT	76	92	56	50
ZKSCAN2	263	400	322	374
AQP8	1	1	0	0
RN7SL557P	0	0	0	0
LCMT1-AS2	0	0	0	0
LCMT1	589	681	401	489
LCMT1-AS1	4	1	0	1
LOC100421173	0	0	0	0
LOC100421169	0	0	0	0
SCML2P2	12	11	3	6
LINC02175	17	23	14	15
LOC554206	14	24	7	6
LOC100421171	0	0	0	0
ARHGAP17	343	447	532	532
SLC5A11	0	0	0	0
LINC01567	0	0	0	1
TNRC6A	1171	1412	1800	1873
RBBP6	945	1182	1764	1819
RNU7-24P	0	0	0	0
CACNG3	0	0	0	0
LINC02194	0	0	0	0
MIR1273H	0	0	0	0
PRKCB	0	0	0	0
CHP2	1	7	0	0
ERN2	1	0	0	0
PLK1	279	284	592	641
DCTN5	1556	1975	2536	2640
PALB2	442	593	489	534
NDUFAB1	823	984	1012	1043
UBFD1	1818	2236	2320	2448
SUB1P4	0	0	0	0
EARS2	1039	1239	592	608
CCNYL7	0	0	0	0
GGA2	981	1214	1310	1393
RN7SKP23	0	0	0	0
COG7	429	589	454	467
SCNN1B	207	272	2	3
SCNN1G	144	190	2	3
USP31	666	840	460	508
HS3ST2	0	0	0	0
OTOAP1	0	0	2	0
NPIPB5	55	48	35	43
SMG1P1	43	40	65	30
RRN3P3	57	64	47	52
MFSD13B	0	1	0	0
LOC440346	0	2	0	0
CDR2	579	659	262	267
POLR3E	464	578	756	878
TRL-AAG2-4	0	0	1	0
EEF2K	547	657	908	900
TRL-TAG3-1	0	4	1	0
SDR42E2	0	1	0	0
VWA3A	0	2	1	3
MOSMO	245	322	285	274
LOC100420536	0	0	0	0
PDZD9	1	0	0	0
LOC100420644	6	16	8	5
UQCRC2	2421	3071	3271	3435
LOC342293	0	0	0	0
SMG1P4	18	11	47	36
NPIPB4	19	9	14	6
RRN3P1	0	0	1	0
OTOA	0	0	1	0
RNU6-196P	0	0	0	1
RNU6-1005P	1	0	1	0
IGSF6	0	0	0	0
METTL9	1353	1599	2895	3095
LOC101927814	1	2	1	1
LOC646828	0	0	0	0
SLC7A5P2	60	93	54	57
MIR3680-1	0	0	0	1
SMG1P3	104	107	77	103
LOC100190986	1	1	0	3
NPIPB3	15	20	18	25
SNX29P1	1	6	4	0
CRYM-AS1	34	31	11	17
CRYM	15	5	4	0
ANKS4B	0	0	0	0
ZP2	0	0	0	0
TMEM159	355	467	605	606
DNAH3	7	11	3	0
LYRM1	270	349	218	244
DCUN1D3	257	322	384	415
REXO5	110	99	41	52
RNU6-944P	0	0	0	0
ERI2	555	778	479	500
ACSM3	8	15	5	7
THUMPD1	1258	1526	1350	1337
LOC100887080	0	0	0	0
ACSM1	2	6	0	2
ACSM5P1	0	0	0	0
ACSM2B	0	0	0	0
ACSM2A	0	0	0	0
ACSM5	3	8	0	0
PDILT	0	1	0	0
UMOD	1	0	0	0
GP2	1	1	0	0
SNRPEP3	0	1	0	0
SALL4P3	0	0	0	0
GPR139	161	206	0	0
GPRC5B	64	84	12	18
LARP7P2	0	0	0	0
IQCK	93	119	87	94
KNOP1	1030	1311	1090	1132
VPS35L	92	99	884	928
CCP110	673	809	385	414
GDE1	925	1142	1923	1996
RNU4-46P	0	0	0	0
